Maanyan;Indonesia
ada puang babujur hanyu amun bapander andri ulun matueh;kamu jangan tidak serius jika berbicara dengan orang tua
kamalem na takam nguta babutuk;malam ini kita makan babutuk
kamalem na takam nguta ruyan;malam ini kita makan durian
tau lah aku laku karawah;bisakah aku meminta tolong
bahum leh aku puang hakun lagi bapander andri hanyu;terserah aku tidak mau lagi berbicara dengan kamu
ada metun hang jembatan ampah daya amau tuu teka tane;jangan terjun di jembatan ampah karena tinggi sekali dari tanah
hanang tuu bakulaling watku na;sakit sekali mata kakiku ini
naan rapat kamalem die hang balai;ada rapat malam nanti di balai
hamen ma awe hanyu;kamu mau ke mana
hayu takam ma pantai kauni;ayo kita ke pantai besok
marisak tuu pantai na amun haut kamalem;pantai ini dingin sekali kalau sudah malam
ada nguut ranu marisak amun hanyu lagi mekum;kamu jangan minum air dingin kalau kamu sedang sakit
marisak tuu andrau ina;dingin sekali hari ini
daya kutaan ina marisak, aku puang hakun kuman;karena makanan ini dingin, aku tidak mau makan
andrau ina marisak daya hingka malem ru uran;hari ini dingin karena tadi malam hujan
amah tulak ma sawah kai ngume;ayah pergi ke sawah untuk bersawah
amun hanyu ma lewuku;kalau kamu ke rumahku
andrau ina aku tulak ma kantor;hari ini aku pergi ke kantor
aku uma perjalanan dinas ma palangka;aku ikut perjalanan dinas ke palangka
puang malu amun hanyu mandre;tidak apa apa kalau kamu tidur
lawah aku puang ma tumpuk natat;lama aku tidak ke kampung halaman
aku taduh ngume daya naan gawian;aku berhenti bersawah karena ada pekerjaan
aku laku telu wua ruyan;aku minta tiga buah durian
haut telu anrau hi itak puang tulak ma kabun;sudah tiga hari si nenek tidak pergi ke kebun
daya anrau puang uran;karena hari tidak hujan
haut telu kali aku nerau hanyu;sudah tiga kali aku memanggil kamu
hanyu puang tau laku izin puang minau lebih teka telu andrau;kamu tidak bisa minta izin tidak hadir lebih dari tiga hari
selamat kaiyat katuluh ni;selamat pagi semuanya
selamat kaiyat amah;selamat pagi ayah
amun panalu hanye antuh selamat kaiyat;kalau ketemu dia ucap selamat pagi
ada hampe using iru nguta luwen takam;jangan sampai kucing itu memakan lauk kita
aku puang tau nguta ina amun kutaan ni malaing;aku tidak bisa makan ini kalau makanan ini panas
amun andrau ina malaing ada tulak ma ume;kalau hari ini panas jangan pergi ke sawah
hi dani naan ani, ngaran ni hi dina;si dani memiliki adik, namanya si dina
sugih aku amun ngari tane hang banjarmasin;aku akan kaya jika menjual tanah di banjarmasin
salamat kaiyat kawan hengau katuluh ni;selamat pagi teman-teman semua
aku laku maaf ma katuluh ni, daya puang suah minau ma kantor;aku minta maaf semua, karena tidak pernah turun ke kantor
