Maanyan;Indonesia
ada puang babujur hanyu amun bapander andri ulun matueh;kamu jangan tidak serius jika berbicara dengan orang tua
kamalem na takam nguta babutuk;malam ini kita makan babutuk
kamalem na takam nguta ruyan;malam ini kita makan durian
tau lah aku laku karawah;bisakah aku meminta tolong
bahum leh aku puang hakun lagi bapander andri hanyu;terserah aku tidak mau lagi berbicara dengan kamu
ada metun hang jembatan ampah daya amau tuu teka tane;jangan terjun di jembatan ampah karena tinggi sekali dari tanah
hanang tuu bakulaling watku na;sakit sekali mata kakiku ini
naan rapat kamalem die hang balai;ada rapat malam nanti di balai
hamen ma awe hanyu;kamu mau ke mana
hayu takam ma pantai kauni;ayo kita ke pantai besok
marisak tuu pantai na amun haut kamalem;pantai ini dingin sekali kalau sudah malam
ada nguut ranu marisak amun hanyu lagi mekum;kamu jangan minum air dingin kalau kamu sedang sakit
marisak tuu andrau ina;dingin sekali hari ini
daya kutaan ina marisak, aku puang hakun kuman;karena makanan ini dingin, aku tidak mau makan
andrau ina marisak daya hingka malem ru uran;hari ini dingin karena tadi malam hujan
amah tulak ma sawah kai ngume;ayah pergi ke sawah untuk bersawah
amun hanyu ma lewuku;kalau kamu ke rumahku
andrau ina aku tulak ma kantor;hari ini aku pergi ke kantor
aku uma perjalanan dinas ma palangka;aku ikut perjalanan dinas ke palangka
puang malu amun hanyu mandre;tidak apa apa kalau kamu tidur
lawah aku puang ma tumpuk natat;lama aku tidak ke kampung halaman
aku taduh ngume daya naan gawian;aku berhenti bersawah karena ada pekerjaan
aku laku telu wua ruyan;aku minta tiga buah durian
haut telu anrau hi itak puang tulak ma kabun;sudah tiga hari si nenek tidak pergi ke kebun
daya anrau puang uran;karena hari tidak hujan
haut telu kali aku nerau hanyu;sudah tiga kali aku memanggil kamu
hanyu puang tau laku izin puang minau lebih teka telu andrau;kamu tidak bisa minta izin tidak hadir lebih dari tiga hari
selamat kaiyat katuluh ni;selamat pagi semuanya
selamat kaiyat amah;selamat pagi ayah
amun panalu hanye antuh selamat kaiyat;kalau ketemu dia ucap selamat pagi
ada hampe using iru nguta luwen takam;jangan sampai kucing itu memakan lauk kita
aku puang tau nguta ina amun kutaan ni malaing;aku tidak bisa makan ini kalau makanan ini panas
amun andrau ina malaing ada tulak ma ume;kalau hari ini panas jangan pergi ke sawah
hi dani naan ani, ngaran ni hi dina;si dani memiliki adik, namanya si dina
sugih aku amun ngari tane hang banjarmasin;aku akan kaya jika menjual tanah di banjarmasin
salamat kaiyat kawan hengau katuluh ni;selamat pagi teman-teman semua
aku laku maaf ma katuluh ni, daya puang suah minau ma kantor;aku minta maaf semua, karena tidak pernah turun ke kantor
hi sara ngayaan hi ishak;sara melahirkan ishak
tuhan ngitung hi sara manyu sa naeau ni;tuhan memperhatikan sara seperti yang difirmankannya
balalu  tuhan nampalus ma hi sara manyu inun sa haut najanyi ni;melakukan kepada sara seperti yang dijanjikannya
hi sara mihawuntung balalu ngayaan erang kaulun anak upu ma hi abraham hang umur sa haut matueh;sara pun mengandung dan melahirkan seorang anak lakilaki bagi abraham di masa tuanya
hang katika sa haut naputus;pada waktu yang telah ditetapkan
manyu lengan alatalla ma hanye;sesuai dengan firman allah kepadanya
hi abraham ngampingaran anakni sa wau nakayaan sara hanye yiru hi ishak;abraham menamai anaknya yang baru lahir itu ishak anak yang dilahirkan sara baginya
udi yiru hi abraham nyunat hi ishak;kemudian abraham menyunat ishak perintahkan allah kepadanya
anakni yiru;anaknya itu
hentek baumur walu anrau;ketika berumur delapan hari
manyu sa naparentah alatalla ma hanye;seperti yang diperintahkan allah kepadanya
hi abraham baumur jatuh taun;abraham berumur seratus tahun
hentek hi ishak;ketika ishak
anakni nakayaan ma hanye;anaknya lahir baginya
hi sara kaeau;berkatalah sara
alatalla haut ngulah aku kakihi;allah telah membuat aku tertawa
ungkan ulun sa karengeini sagar kakihi gana aku;setiap orang yang mendengarnya akan tertawa karena aku
eauni kamulek;ia berkata pula
hie sa kapihuanni kaeau ma hi abraham;siapa yang tadinya dapat mengatakan kepada abraham
hi sara ngampumu anak;sara menyusui anak
agit tuuni aku haut ngayaan erang kaulun anak upu ma hanye hang umurni sa matueh;ternyata aku telah melahirkan seorang anak lakilaki baginya di masa tuanya
hi abraham ngunnur hi hagar anri hi ismael;abraham mengusir hagar dan ismael
anak yiru magin hante palus hanye nasantaduh umu;anak itu bertambah besar dan ia disapih
hi abraham ngulah hewu harui hang anrau hi ishak nasantaduh umu;abraham mengadakan perjamuan besar pada hari ishak disapih
tawuk yiru hi sara kadinung;pada waktu itu sara melihat
amun anak sa nakayaan hagar;bahwa anak yang dilahirkan hagar
wawei mesir yiru ma hi abraham  rahat kakihikihi;perempuan mesir itu bagi abraham sedang tertawatawaa
hi sara kaeau ma hi abraham;berkatalah sara kepada abraham
unnur walah wawei yiru baya anakni;usirlah hamba perempuan itu beserta anaknya
daya anak walah yina puang sagar jari ahli waris sasameh anri anakku hi ishak;sebab anak hamba ini tidak akan menjadi ahli waris bersama anakku ishak
hi abraham sese tuu gana anakni yiru;hal ini sangat menyebalkan abraham oleh karena anaknya itu
kude alatalla kaeau ma hi abraham;tetapi allah berfirman kepada abraham
ada sese ateinu gana anak anri walahnu yiru;janganlah sebal hatimu mengenai masalah anak dan hambamu itu
katantuluh sa naeau sara ma hanyu;segala yang dikatakan sara kepadamu
musti nasanrengeinu;haruslah kau dengarkan
daya teka hi ishak sa sagar naantuh turunannu;sebab dari  ishaklah yang akan disebut keturunanmu
kude anak walahnu yiru pada sagar ulahku jari isa bummuh;tetapi anak hambamu itu juga akan kubuat menjadi suatu bangsa
daya hanye pada turunannu;karena ia pun keturunanmu
subuh burung hi abraham ngalap rute baya ranu erang kantung teka kudit;keesokan harinya pagipagi abraham mengambil roti serta sekantong air
hanye ngami ma hi hagar;memberikannya kepada hagar
palus ngannak ma papaleni;dan meletakkannya di atas bahunya
balalu nunyu hi hagar anri anak yiru tulak;lalu bersama anak itu disuruhnya hagar pergi
hi hagar tulak namuei hang padang suni murumiuk bersyeba;hagar kemudian pergi dan mengembara di padang gurun bersyeba
dami ranu hang kantung yiru galis;ketika air yang di kantong itu habis
hanye nanan anak yiru hang pulau jubut;anak itu ditinggalkannya di bawah semaksemak
hanye maharung agak lawit;lalu ia duduk agak jauh
leu tummang pangkalung lawitni;kirakira sepemanah jaraknya
daya eauni;sebab katanya
aku puang kaule kadinung anak yiru matei;aku tidak tahan melihat anak itu mati
padingian hanye maharung hang iru;sementara duduk di situ
hi hagar ngiak mehet tuu;hagar menangis dengan suara nyaring
alatalla karengei lengan anak upu yiru;allah mendengar suara anak lakilaki itu
balalu malekat alatalla teka langit kaeau ma hi hagar;lalu malaikat allah berseru dari langit kepada hagar
malekat kaeau ma hanye;malaikat berkata kepadanya
inun ngulah hanyu  hagar ada gaer;apa yang terjadi padamu hagar janganlah takut
daya alatalla haut karengei lengan anak yiru teka unengni mangkading;sebab allah telah mendengar suara anak itu dari tempat ia terbaring
v  amuan  enat anak yiru nelang tegei hanye papisit;bangunlah angkatlah anak itu dan peganglah dia eraterat
daya aku sagar ngulah hanye jari bummuh sa hante;sebab aku akan membuat dia menjadi bangsa yang besar
alatalla nguka mate hagar;lalu allah membuka mata hagar
balalu hanye kadinung naan sumur;sehingga ia melihat sebuah sumur
hanye tulak ngisik ranu ma wuang unengan teka kudit situa;ia pergi mengisi kantong airnya
udi yiru hanye ngami anak yiru nguut ranu;lalu memberi anak itu minum
alatalla nyinrah anak yiru;allah menyertai anak itu
hanye batammah hante palus muneng hang padang suni murumiuk nelang jari erang kaulun pamanah;ia bertambah besar dan menetap di padang gurun serta menjadi seorang pemanah
hanye muneng hang padang suni murumiuk paran;ia tinggal di padang gurun paran
nelang inehni ngalap erang kaulun matueh wawei ma hanye teka tane mesir;dan ibunya mengambil seorang istri baginya dari tanah mesir
janyi hi abraham anri hi abimelekh;perjanjian abraham dengan abimelekh
hentek yiru hi abimelekh anri hi pikhol;pada waktu itu abimelekh beserta pikhol
pangalima surudaduni;panglima tentaranya
kaeau ma hi abraham;berkata kepada abraham
alatalla nyinrah hanyu hang wuang katantuluh pigawiannu;allah menyertai engkau dalam segala sesuatu yang kau lakukan
hayu hanyu basumpah taati ma aku hang yiti hang wuang ngaran alatalla;sekarang bersumpahlah kepadaku di sini demi allah
amun hanyu puang sagar sulas ma aku;bahwa engkau tidak akan berlaku curang kepadaku
atawa ma kawan anakku;atau kepada anakanakku
atawa ma kawan umpu piutku;atau kepada cucu cicitku
manyu sinta satia sa natantarangku ma hanyu;sesuai dengan kesetiaan yang kutunjukkan kepadamu
kala yiru musti naulahnu ma aku anri ma tane ranu sa naunengnu jari ulun hawien;demikianlah harus  kautunjukkan kepadaku dan kepada negeri yang kaudiami sebagai pendatang
hi abraham kaeau;lalu kata abraham
aku basumpah;aku bersumpah
kude hi abraham kabaratan ma hi abimelekh neu sumur sa haut nasiau daya kawan walah abimelekh;tetapi kepada abimelekh abraham menyatakan keberatan tentang sebuah sumur yang telah dirampas oleh hambahamba abimelekh
hi abimelekh nuing;jawab abimelekh
aku puang karasa;aku tidak tahu
hie sa ngulah hal yiru;siapa yang melakukan hal itu
nelang hanyu puang iwara ma aku;lagi pula engkau tidak memberitahukannya kepadaku
pada hampe anrau yina huan suah aku karengei;dan sampai hari ini belum pernah kudengar
balalu hi abraham ngalap kamming babiri anri lammu;lalu abraham mengambil kambing domba dan lembu
balalu ngami katuluh yiru ma hi abimelekh;serta memberikan semuanya itu kepada abimelekh
udi yiru here rueh ngulah janyi;kemudian keduanya mengikat perjanjian
kude hi abraham ngabalain pitu anak babiri wawei teka kawan babiri yiru;tetapi abraham memisahkan tujuh anak domba betina dari dombadomba itu
balalu hi abimelekh kaeau ma hi abraham;lalu kata abimelekh kepada abraham
umak inun kapitu anak babiri sa nabalainnu yiti;untuk apakah ketujuh anak domba yang kaupisahkan ini
hi abraham nuing;abraham menjawab
kapitu anak babiri yiti musti natarimenu teka tanganku neu jari tanna bukti ma aku;ketujuh anak domba ini harus kauterima dari tanganku sebagai tanda bukti bagiku
amun aku haut nabuk sumur yiti;bahwa akulah yang menggali sumur ini
daya yiru ulun ngantuh unengan yiru bersyeba;itulah sebabnya tempat itu disebut bersyeba
daya karueh ulun yiru haut basumpah hang yaru;karena kedua orang itu telah bersumpah di sana
udi here ngulah janyi hang bersyeba;setelah mereka mengikat perjanjian di bersyeba
balalu hi abimelekh anri hi pikhol  pangalima surudaduni;abimelekh beserta pikhol panglima tentaranya
mudi ma tane ranu ulun pilistin;pulang ke negeri orang filistin
hi abraham ngamule erang kakau tamariska hang bersyeba;abraham menanam sebatang pohon tamariska di bersyeba
nelang hang yaru hanye nanterau ngaran  tuhan  alatalla sa kalalawah;dan di sana ia memanggil nama tuhan allah yang kekal
udi yiru hi abraham sadang lawah muneng jari ulun hawien hang tane ranu ulun filistin;sesudah itu abraham cukup lama tinggal sebagai pendatang di negeri orang filistin
anak tukui abraham teka hi ketura;keturunan abraham dari ketura
hi abraham pada ngalap erang kaulun matueh wawei;abraham mengambil pula seorang istri
ngaranni hi ketura;namanya ketura
wawei yiru ngayaan hi zimran  yoksan  medan  midian  isbak  anri hi suah;perempuan itu melahirkan baginya zimran yoksan medan midian isbak dan suah
hi yoksan naan anak;yoksan mempunyai anak
hi syeba anri hi dedan;syeba dan dedan
anak tukui dedan hanye yiru ulun asyur;keturunan dedan ialah orang asyur
ulun letush anri ulun leum;orang letus dan orang leum
kawan anak midian hanye yiru hi efa     efer henokh abida anri hi eldaa;anakanak midian ialah efa efer henokh abida dan eldaa
yiru katuluhni anak tukui ketura;itulah semuanya keturunan ketura
hi abraham ngami katantuluh harata watni ma hi ishak;abraham memberikan segala harta miliknya kepada ishak
ude ma kawan anakni teka kawan matueh waweini sa hanrian hanye ngami hadiah;tetapi kepada anakanaknya yang diperolehnya dari gundikgundiknya ia menghadiahkan pemberian
hentek hanye magun welum;kemudian pada waktu ia masih hidup
hanye nunyu here tulak hingka hadapan hi ishak;ia menyuruh mereka pergi dari hadapan ishak
anakni;anaknya
ma tuhi timur;ke sebelah timur
ma tane timur;ke tanah timur
s hi abraham matei palus napasar;abraham meninggal dan dikuburkan
hi abraham baumur jatuh pitumpulu dime taun;abraham mencapai umur seratus tujuh puluh lima tahun
balalu hanye nempus hewuk;lalu menghembuskan  nafas terakhir
hanye matei tawuk wuluni haut mahilak nelang matueh tuu;ia meninggal pada waktu telah putih rambutnya tua dan penuh umurnya
hanye nakumpul ma bummuh bungkut datu nini ni;ia dikumpulkan kepada kaum leluhurnya
kawan anakni;anakanaknya
hi ishak anri hi ismael masar hanye hang liang makhpela;ishak dan ismael menguburkan dia dalam gua makhpela
hang ume efron anak zohar;di ladang efron bin zohar
ulun het;orang het
ume sa naan hang tuhi timur mamre;ladang yang terletak di sebelah timur mamre
sa haut nawidi abraham teka utus het;yang telah dibeli abraham dari bani het
hang yaru hi abraham baya hi sara matueh waweini napasar;di sanalah abraham dan sara istrinya dikuburkan
udi hi abraham matei;setelah kematian abraham
alatalla mamberkat hi ishak  anakni;allah memberkati ishak anaknya
hi ishak muneng riet sumur lahairoi;ishak menetap dekat sumur lahairoi
anak tukui ismael;keturunan ismael
inaleh anak tukui ismael;inilah keturunan ismal
anak abraham;anak abraham
sa nakayaan ma hanye teka hi hagar;yang telah dilahirkan baginya oleh hagar
wawei mesir;perempuan mesir
walah sara;hamba sara
yinaleh ngaran kawan anak ismael;inilah nama anakanak ismael
manyu bilitan nakayaanni;disebutkan menurut urutan kelahirannya
hi nebayot;nebayot
anak taraulu imael;anak sulung ismael
udi yiru hi kedar adbeel mibsam;selanjutnya kedar adbeel mibsam
misma duma masa hadad tema yetur nafish anri hi kedma;misma duma masa  hadad tema yetur nafis dan kedma
yiruleh kawan anak ismael;itulah anakanak ismael
nelang yiruleh kawan ngaran here;dan itulah namanama mereka
manyu tumpuk anri kawan kemah here;menurut kampung mereka dan menurut perkemahan mereka
duawalas pamimpin utus bummuh;dua belas kepala suku
masaisaan baya utus bummuhni;masingmasing dengan sukunya
hi ismael baumur jatuh telumpulu pitu taun;umur ismael ialah seratus tiga puluh tujuh tahun
hanye nempus hewuk;ia menghembuskan napas terakhir
matei palus nakumpul ma bummuh bungkut datu nini ni;meninggal dan dikumpulkan kepada kaum leluhurnya
anak tukuini muneng hang daerah hawila hampe syur;keturunannya mendiami daerah dari hawila sampai syur
sa naan hang tuhi timur mesir ma tiba asyur;yang terletak di sebelah timur mesir ke arah asyur
here muneng sawung hadap anri kawan pulaksanaini;mereka menetap berhadapan dengan semua saudaranya
hi esau anri hi yakub nakayaan;kelahiran esau dan yakub
yina jereh anak tukui ishak;inilah riwayat keluarga ishak
anak abraham;anak abraham
hi abraham naan anak;abraham mempunyai anak
hi ishak;si ishak
hi ishak baumur epatpulu taun;ishak berumur empat puluh tahun
hentek hi ribka;ketika ribka
anak betuel;anak betuel
ulun aram teka padanaram;orang aram dari padanaram
pulaksanai wawei laban ulun aram yiru;saudara perempuan laban orang aram itu
naalapni jari matueh waweini;diambilnya menjadi istrinya
hi ishak ilakudua ma tuhan umak matueh waweini;ishak berdoa kepada    tuhan  untuk istrinya
daya matueh waweini yiru tamanang;sebab istrinya itu mandul
narime lakuduani balalu hi ribka;tuhan mengabulkan doanya sehingga ribka
matueh waweini yiru mihawuntung;istrinya itu mengandung
kude kawan anakni hang wuang wuntungni ipanawan;tetapi anakanak di dalam rahimnya saling melawan
balalu hanye kaeau;dan ia berkata
amun kala yina;jika demikian
daya inun aku kaingkam hal yina;mengapa hal ini kualami
balalu hanye tulak laku panutui panyihunru ma tuhan;lalu ia pergi bertanya kepada tuhan
lengan tuhan ma hanye;firman  tuhan kepadanya
rueh bummuh naan hang wuang wuntungnu;dua bangsa ada dalam kandunganmu
rueh utus bummuh sagar bahuar teka wuang wuntungnu;dua suku bangsa akan berpisah dari dalam rahimmu
utus bummuh sa isa sagar labis wigas teka sa lain;suku bangsa yang satu akan lebih kuat daripada yang lain
anak sa taraulu sagar jari walah ma sa ia;anak yang tua akan menjadi hamba bagi yang muda
dami haut hampe anrauni neu bagenna;setelah genap waktunya untuk bersalin
bujur tuu anak ruangan sa naan hang wuang wuntungni;memang anak kembarlah yang ada di dalam kandungannya
sa dahulu hulet;yang pertama keluar
bawarana mariang;warnanya kemerahmerahan
katuluh tengani nyalah jubah bawulu;seluruh tubuhnya seperti jubah berbulu sebab itu
daya yiru hanye naampingaran hi esau;ia dinamai esau
udi yiru hulet annini;sesudah itu keluarlah adiknya
tanganni negei tungka esau;tangannya memegang tumit esau
daya yiru;sebab itu
hanye naampingaran hi yakub;ia dinamai yakub
hi ishak baumur enempulu taun hentek here nakayaan;ishak berumur enam puluh tahun pada waktu mereka lahir
karueh anak yiru magin hante;kedua anak itu bertambah besar
hi esau jari ulun panganup;esau menjadi seorang yang pandai berburu
ulun sa katuju muneng hang tane laga;seorang yang suka tinggal di padang
kude hi yakub ulun sa panyuni;tetapi yakub adalah seorang yang tenang pembawaanya
sa katuju muneng hang kemah;yang suka tinggal di kemah
hi ishak ngalelu hi esau daya hanye katuju nguta lunek iyuhan nganup;ishak sayang kepada esau sebab ia suka makan daging buruan
kude hi ribka ngalelu hi yakub;tetapi ribka sayang kepada yakub
hi esau ngari hak taraulu;esau menjual hak kesulungannya
hang hinra anrau hi yakub ganyah padangan;pada suatu hari yakub sedang memasak sesuatu
hentek hi esau hawi kauyuhan teka tane laga;ketika esau datang kelelahan dari padang
eau esau ma hi yakub;kata esau kepada yakub
maraleh aku nguta butit teka kawan sa mariang yiru;biarlah aku makan sedikit dari yang merahmerah itu
daya aku uyuh;karena aku lelah
yiruleh ganani ngaranni naantuh hi edom;itulah sebabnya namanya disebut edom
kude hi yakub kaeau;tetapi yakub berkata
ari dulu hak taraulunu ma aku;jual dulu hak kesulunganmu kepadaku
tuing esau;sahut esau
dinung aku ane matei;lihat aku nyaris mati
inun riranni hak tarauluku yiru ma aku;apa gunanya hak kesulungan itu bagiku
eau yakub;kata yakub
basumpah dahulu ma aku;bersumpahlah dulu kepadaku
hi esau pada basumpah ma hanye nelang ngari hak tarauluni ma hi yakub;esau pun bersumpah kepadanya dan menjual hak kesulungannya kepada yakub
balalu hi yakub ngami rute baya luen kacang mariang yiru ma hi esau;lalu yakub memberikan roti dan masakan kacang merah itu kepada esau
hanye kuman welum;ia makan dan minum
balalu minri palus tulak;kemudian berdiri dan pergi
kala yiru hi esau ninung sutil hak taraulu yiru;demikianlah esau menyepelekan hak kesulungan itu
balalu hi ishak nerau hi yakub;kemudian ishak memanggil yakub
mamberkat nelang ipesen ma hanye;memberkati dia serta berpesan kepadanya
ada ngalap matueh wawei teka wawei kanaan;janganlah mengambil istri dari perempuan kanaan
batatapleh;bersiaplah
hulu ma padanaram;pergilah ke padanaram
ma lewu betuel;ke rumah betuel
kakahnu;ayah ibumu
nelang alap teka yaru erang kaulun matueh wawei teka kawan anak laban;dan ambillah dari sana seorang istri dari anakanak laban
pulaksanai inehnu;saudara ibumu
ware  alatalla sa kuasani puang uweng tikas mamberkat hanyu;kiranya allah yang mahakuasa memberkati engkau
ngulah hanyu nganak ngumpu nelang jari rama;membuat engkau beranak cucu dan membuat engkau menjadi banyak
hampe hanyu jari tumpungan hante kawan bummuh;sehingga engkau menjadi kumpulan bangsabangsa
ware hanye ngami hanyu anri anak tukuinu berkat abraham;kiranya ia memberikan kepadamu berkat abraham kepadamu dan keturunanmu
nampan hanyu kaampun tane ranu yina sa unengnu jari ulun hawien;sehingga engkau memiliki negeri ini yang kaudiami sebagai pendatang
sa haut naammi alatalla ma hi abraham;yang telah diberikan allah kepada abraham
kala yiru hi ishak nantulakan hi yakub;demikianlah ishak melepas yakub
balalu hi yakub tulak ma padanaram;lalu yakub berangkat ke padanaram
nunung hi laban anak betuel;kepada laban anak betuel
ulun aram yiru;orang aram itu
pulaksanai ribka ineh yakub anri hi esau;saudara  ribka ibu yakub dan esau
hi esau karasa neu hi ishak haut mamberkat hi yakub nelang nunyu hanye ma padanaram neu ngalap matueh wawei teka yaru;esau melihat bahwa ishak telah memberkati yakub dan melepasnya ke padanaram untuk mengambil istri dari sana
hentek hi ishak mamberkat hi yakub hanye ipesen ma hi yakub;pada waktu ishak memberkati yakub ia berpesan kepadanya
ada ngalap matueh wawei teka wawei kanaan;jangan ambil istri dari antara perempuan kanaan
hi yakub nyanrengei eau inehammahni;yakub pun mendengarkan perkataan ayah dan ibunya
balalu tulak ma padanaram;dan pergi ke padanaram
karasa hal yiru hi esau kataru;melihat hal itu esau menyadari
amun wawei kanaan puang maeh hang paninungan ishak  ammahni;bahwa perempuan kanaan tidak baik dalam pandangan ishak ayahnya
daya yiru hanye tulak nunung hi ismael balalu ngalap hi mahalat jari matueh waweini;sebab itu ia pergi kepada ismael dan mengambil mahalat menjadi istrinya
salain karueh matueh waweini;selain kedua istri yang dimilikinya
hi mahalat hanye yiru anak ismael anak abraham;mahalat adalah anak ismael bin abraham
anni wawei nebayot;adik perempuan nebayot
upi yakub hang betel;mimpi yakub di betel
hi yakub tulak teka bersyeba palus ma haran;yakub berangkat dari bersyeba dan pergi ke haran
hanye hampe hang isa unengan balalu amalem hang yiru daya mateanrau haut leteng;ia sampai di suatu tempat dan bermalam di situ karena matahari telah terbenam
hanye ngalap isa watu hang unengan yiru umak unnan;ia mengambil sebuah batu di tempat itu dan memakainya sebagai alas kepala
hanye mangkading hang unengan yiru;lalu membaringkan dirinya di tempat itu
hanye nganupi;ia kemudian bermimpi
dinungni naan isa tukat naapinri hang tane sa tampukni hampe langit;tampaklah sebuah tangga didirikan di bumi yang ujungnya sampai ke langit
nelang tantau kawan malekat alatalla minaumammai hang tukat yiru;dan tampaklah malaikatmalaikat allah naik turun di tangga itu
tuhan  minri hang higa hanye nelang kaeau;berdirilah tuhan di sampingnya dan berfirman
aku yina tuhan alatalla abraham  datu nininu  nelang alatalla ishak;akulah tuhan allah abraham kakekmu dan allah ishak
tane unengnu mangkading yina sagar ammiku ma hanyu anri anak tukuinu;tanah tempat engkau berbaring ini akan kuberikan kepadamu dan kepada keturunanmu
anak tukuinu sagar jari nyalah habu tane wahaini;keturunanmu akan menjadi seperti debu tanah banyaknya
nelang hanyu sagar iwerang ma tuhi timur  barat utara anri selatan;dan engkau akan menyebar ke sebelah timur barat utara dan selatan
nelang dayanu anri anak tukuinu katuluh bummuh bungkut hang gumi sagar kaiuh berkat;dan olehmu serta keturunanmu semua kaum di muka bumi akan mendapat berkat
kapinuuni aku nyinrah hanyu nelang sagar nyalinnung hanyu;sesungguhnya aku menyertai engkau dan akan melindungi engkau
ma awe hanyu tulak;kemana pun engkau pergi
aku sagar ngennei hanyu mulek ma tane ranu yina;aku akan membawa engkau kembali ke negeri ini
daya aku puang sagar nanan hanyu;sebab aku tidak akan meninggalkan engkau
malengkan magun nampalus inun sa najanyiku ma hanyu;melainkan tetap melakukan apa yang kujanjikan kepadamu
hi yakub kaelan balalu kaeau;yakub bangun dari tidurnya lalu berkata
kapinuuni tuhan naan hang unengan yina;sesungguhnya tuhan ada di tempat ini
kude aku puang karasa;dan aku tidak mengetahuinya
hanye gaer nelang kaeau;ia takut dan berkata
hiah tamamni unengan yina yina puang lain lewu alatalla;alangkah dahsyatnya tempat ini ini tidak lain dari rumah allah
yina wanawang surga;inilah pintu gerbang surga
kaiat kiunini hi yakub ngalap watu sa napakaini umak unnan balalu naampinri jari tungun watu;keesokan harinya pagipagi yakub mengambil batu yang dipakainya sebagai alas kepala dan mendirikannya sebagai tugu
palus nalui ilau ma ammauni;lalu menuang minyak ke atasnya
hanye ngampingaran unengan yiru betel;ia menamai tempat itu betel
kude sadi ngaran tumpuk hante yiru lus;sedangkan dahulu nama kota itu lus
balalu hi yakub bahajat;lalu yakub bernazar
amun alatalla nyinrah nelang nyalinnung aku hang lalan sa nakiaku yina;jika allah menyertai dan melindungi aku di jalan yang kutempuh ini
ngammi rute ma aku umak nakuta nelang pamma umak napakai;memberikan kepadaku roti untuk dimakan dan pakaian untuk dipakai
hampe aku mulek jari janang ma lewu ammahku;sehingga aku kembali dengan selamat ke rumah ayahku
hanyu tuhan jari alatallaku;maka tuhan akan menjadi allahku
watu sa naampinriku jari tungun watu yina sagar jari lewu alatalla;batu yang kudirikan sebagai tugu ini akan menjadi rumah allah
teka katantuluh sa naamminu ma aku  sapersapuluh saratang naparapahku ma hanyu;dari segala sesuatu yang engkau berikan kepadaku akan selalu kupersembahkan sepersepuluh kepadamu
