Maanyan;Indonesia
jipah;jerat
jukung;jukung
juking;kelokan sungai
jumpun;hutan
jupe;jupe
jurang;padi sisa tuaian
juun;mendorong
jue;burung kuau
wurung jue;burung kuau
junreng;bersandar
jujung;menjunjung
jurit;takdir
kaandrau;siang
kaanre;mau tidur
kaayat;pagi
kadinung;melihat
kahaba;mendapatkan
kahimaen;gelar
kai;mau
kairu;begitu
kaiyuh;mendapatkan
kajut;terlalu
kakah;kakek
kakihi;tertawa
kakuring;hijau
kala;seperti
kamalem;malam
kapinuu;sesungguhnya
kapit;bawah
karawah;tolong
mengarawah;menolong
karengei;mendengar
karewau;kerbau
kariwe;sore
karereu;tergesa gesa
karuan;lusa
kasungu;rindu
katatuluh;semua
katantuluh;semuanya
katekeh;semut merah
katupat;ketupat
kawaiya;anak anak
kelah;habis
kenah;ikan
kiuni;besok
kikit;gigit
kingking;jari tangan
kining;kening
kisuh;lucu
kude;tapi
kudit;kulit
kuku;kuku
kukut;garuk
kula;keluarga
kulat;jamur
kulumuai;keong
kuman;makan
kunu;pikiran
kunsi;bekerja sama
kusi;guci
laku;minta
lalunang;keong air
lalung;kupu kupu
lampiran;ayam hutan
lawah;lama
lawit;jauh
leka;paha
lela;lidah
lelau;tumpul
lepuh;hancur
lepah;lepas
lewu;rumah
luen;lauk
luhaw;sering terpakai
lului;tertinggal
tanan;tinggal
lumaah;piring
lunga;bodoh
lupak;terkelupas
luput;selesai
ma;ke
hamen ma awe hanyu;kamu mau ke mana
hayu takam ma pantai kauni;ayo kita ke pantai besok
amah tulak ma sawah kai ngume;ayah pergi ke sawah untuk bersawah
amun hanyu ma lewuku;kalau kamu ke rumahku
andrau ina aku tulak ma kantor;hari ini aku pergi ke kantor
aku uma perjalanan dinas ma palangka;aku ikut perjalanan dinas ke palangka
mabuhau;usil
madinei;ringan
madintang;kuning
maeh;baik
mahadin;sulit
mahanang;sakit
maharati;pintar
maharung;duduk
mahi;tidak ada
mahilak;putih
makuta;makanan
malaing;panas
marisak;dingin
maleh;orang sakti
malelap;bernyala
malu;apa apa
puang malu;tidak apa apa
puang malu amun hanyu mandre;tidak apa apa kalau kamu tidur
mama;om
mamis;manis
mamai;naik
mandre;tidur
mandrus;mandi
mansi;panci
mantat;mencari getah pohon karet
manuwu;ganteng
mawinei;cantik
mape;keras
mapusu;pembohong
marapus;sial
marauh;enak
marengen;tuli
mariang;merah
masam;macam
mate;mata
matei;mati
matueh;tua
maweat;berat
mawule;malas
mayina;ke sini
mekum;demam
memai;tupai
mesen;memesan
midi;memilih
miheput;mundur
minau;turun
mira;bersama sama
maira;berdarah
mitah;lewat
mua;berbuah
muar;benci
mudi;pulang
mukah;memburu
mulai;mulai
mulek;kembali
muneng;berdiam
munu;membunuh
muser;memutar
na;ini
naaheng;yang diinginkan
naan;ada
nahi;nasi
ngiak;menangis
nangkah;melewati
natat;halaman
tumpuk natat;kampung halaman
lawah aku puang ma tumpuk natat;lama aku tidak ke kampung halaman
naun;kalian
nelang;sambil
nempat;lari
neu;mau melakukan sesuatu
ngaheng;ingin
kaaheng;keinginan
ngandraw;gotong royong
ngandrei;menunggu
ngantara;mencari
nganyu;memberikan
nganyuh;menugal
ngenei;bawa
ngikup;memeluk
nginsing;membawa
ngirep;menekan
ngudit;mengelupas kulit
ngulah;membuat
ngume;bersawah
nguta;makan
ngaret;menahan
ninung;melihat
ngadinung;melihat
nua;muntah
numa;bukan main
nungkau;menangis tersedu sedu
nunrak;menumpahkan
nyalak;menombak
nyandrengei;mendengar
odew;mengingat masa lalu
odoi;ayunan
paheei;takut
pahu;pipi
paikah;bekantan
paiyuh;dilarang
pakat;kehendak
pakataru;tidak mengerti
palanuk;kancil
palupihing;pelipis
pama;baju
panalu;bertemu
pangarawah;suka menolong
pangasungu;saling melepas kerinduan
pangataru;saling mengenal
pangkan;bibit
papale;bahu
para;pantat
paramisi;permisi
parei;padi
patau;tidak bisa
pauweng;tidak ada
peda;bosan
pedak;lempar
pee;kaki
peet;pahat
penah;tengah
penah andrau;tengah hari
perei;libur
pesen;pesan
piadu;menikah
puang;tidak
pukung;sarang
puga;baru
pokok;pohon
puga motor wat here;baru motor punya mereka
midi puga ai amun hamen maeh;beli baru saja kalau mau bagus
puga sa aku karasa wangun nu;aku baru tau keadaan kamu
nu;kamu
nuu;setuju
pulaksanai;saudara kandung
punei;burung punai
pupuk;pukul
purat;borok
purun;tega
raang;dagu
raerai;sendiri
rahat;selagi
rai;dahi
rakan;rebus
rakun;awan
rama;banyak
ranu;air
rapui;gila
rarang;mahal
rarimut;tersenyum
rasa;tahu
rawek;ribut
rengei;dengar
ridu;ramai
rite;dekat
rintung;ribut sekali
riran;guna
risak;dingin
rumis;kecil
ruyan;durian
rurup;redup
sabak;berantakan
sadi;dahulu
sadina;bersembunyi
sanai;usus
sanang;senang
sansingut;kumis
sasameh;sama sama
segah;bagus
siding;terbang
sika;memang
silu;telinga
simulu;kutu busuk
singa;sehingga
sini;mau
siuk;cium
siwui;tiup
tabe;salam
tabat;bendung
tabuk;gali
taduh;berhenti
aku taduh ngume daya naan gawian;aku berhenti bersawah karena ada pekerjaan
tadi;tali
taguh;kebal
tahalang;menghalangi
tahurup;tertukar
takam;kita
talau;kalah
tamam;hebat
tamaku;tembakau
tampeleng;menampar
tamparing;menyisihkan
tane;tanah
tapen;suap
terah;kita berdua
tariah;pingsan
tata;kakak
tataw;kaya
tau;bisa
taumpe;terbuang
taulang;tulang
tawang;sesat
tawelek;sebentar saja
tawen;keracunan
tawut;lempar
tedup;tepuk
teka;dari
telu;tiga
aku laku telu wua ruyan;aku minta tiga buah durian
haut telu anrau hi itak puang tulak ma kabun;sudah tiga hari si nenek tidak pergi ke kebun
daya anrau puang uran;karena hari tidak hujan
haut telu kali aku nerau hanyu;sudah tiga kali aku memanggil kamu
hanyu puang tau laku izin puang minau lebih teka telu andrau;kamu tidak bisa minta izin tidak hadir lebih dari tiga hari
teken;tandatangani
tenga;tubuh
tukun;palu
tulau;pikun
tulak;pergi
tumpa;simpangan
tumpuk;kampung
tungkeh;tongkat
tungui;menangis
tutu;tante
tuwari;sepupu
uat;otot
ubat;obat
udau;igau
udak;mengaduk
udut;rokok
udul;pasta gigi
uei;rotan
uhang;kadaluarsa
utit;sedikit
uka;membuka
upu;laki laki
wawei;perempuan
umpe;buang
umpu;cucu
unengan;tempat tinggal
unte;lambat
uran;hujan
utus;turunan
usu;bohong
uyuh;capek
waluu;janda
wangi;basi
wangun;keadaan
wanahan;pekarangan
wara;beritahu
ware;lebih baik
wau;baru
watang;batang
wawahiyang;bintang
wawai;hilang
wawui;babi hutan
wayuang;beruang
waye;bara api
weruk;beruk
widi;membeli
wisik;semut
wising;kenyang
wiwi;bibir
wuah;buaya
wuket;ingus
wulu;rambut
wuntung;perut
wuyaka;belut
selamat kaiyat;selamat pagi
selamat kaiyat katuluh ni;selamat pagi semuanya
selamat kaiyat amah;selamat pagi ayah
amun panalu hanye antuh selamat kaiyat;kalau ketemu dia ucap selamat pagi
kaiyat;pagi
kaandrau;siang
kariwe;sore
kamalem;malam
penah malem;tengah malam
alingeket;tikus
using;kucing
angang;menggonggong
piyak;anak ayam
manu;ayam
ngikit;menggigit
